Timestamp,Temperature [2 m elevation corrected],Relative Humidity [2 m],Wind Speed [10 m],Wind Direction [10 m]
20201202 1300,-2.031812,93.0,12.287555,238.17256,Alberta Canada
20201202 1400,-1.651812,94.0,11.885453,234.86581,Alberta Canada
20201202 1500,-2.281812,92.0,13.392774,233.74615,Alberta Canada
20201202 1600,-3.371812,90.0,13.896187,233.42697,Alberta Canada
20201202 1700,-4.171812,88.0,13.896187,233.42697,Alberta Canada
20201202 1800,-3.5618122,81.0,13.37825,246.19406,Alberta Canada
20201202 1900,-3.611812,77.0,14.4,233.1301,Alberta Canada
20201202 2000,-4.2418118,79.0,17.84816,228.2705,Alberta Canada
20201202 2100,-4.9018116,82.0,18.584509,225.78482,Alberta Canada
20201202 2200,-5.391812,84.0,19.373219,221.98721,Alberta Canada
20201202 2300,-5.561812,85.0,20.12461,222.82526,Alberta Canada
20201203 0000,-5.7818117,85.0,19.64228,221.28471,Alberta Canada
20201203 0100,-6.061812,86.0,18.947083,218.82983,Alberta Canada
20201203 0200,-6.3018117,86.0,18.374111,214.62416,Alberta Canada
20201203 0300,-6.4218116,87.0,18.58451,211.53479,Alberta Canada
20201203 0400,-6.4918118,88.0,18.892282,210.96376,Alberta Canada
20201203 0500,-6.3418117,88.0,20.00512,210.25644,Alberta Canada
20201203 0600,-5.221812,84.0,21.370783,212.61925,Alberta Canada
20201203 0700,-4.941812,84.0,21.178896,211.79892,Alberta Canada
20201203 0800,-4.931812,84.0,21.67487,212.10626,Alberta Canada
20201203 0900,-3.971812,85.0,22.782625,211.42957,Alberta Canada
20201203 1000,-2.631812,86.0,23.166218,212.94922,Alberta Canada
20201203 1100,-1.411812,86.0,23.185787,216.15819,Alberta Canada
20201203 1200,-0.731812,87.0,20.898613,222.2073,Alberta Canada
20201203 1300,-0.64181197,90.0,18.626305,228.91824,Alberta Canada
20201203 1400,-0.9518119,93.0,16.1198,240.57254,Alberta Canada
20201203 1500,-1.9418119,94.0,16.418526,254.74487,Alberta Canada
20201203 1600,-3.701812,92.0,18.36353,268.8767,Alberta Canada
20201203 1700,-5.0518117,92.0,19.839235,281.51382,Alberta Canada
20201203 1800,-5.5118117,88.0,18.692286,285.64224,Alberta Canada
20201203 1900,-5.871812,86.0,19.586117,287.10272,Alberta Canada
20201203 2000,-6.1118116,86.0,21.325253,291.8014,Alberta Canada
20201203 2100,-6.4218116,87.0,20.523157,291.61478,Alberta Canada
20201203 2200,-6.771812,88.0,20.431387,284.2811,Alberta Canada
20201203 2300,-7.101812,88.0,20.12461,280.30487,Alberta Canada
20201204 0000,-7.251812,88.0,18.844202,276.58194,Alberta Canada
20201204 0100,-7.221812,87.0,17.294992,272.38596,Alberta Canada
20201204 0200,-6.951812,87.0,16.56,270.0,Alberta Canada
20201204 0300,-6.661812,86.0,16.199999,270.0,Alberta Canada
20201204 0400,-6.4018116,86.0,16.56,270.0,Alberta Canada
20201204 0500,-6.1718116,85.0,16.199999,270.0,Alberta Canada
20201204 0600,-5.3618116,82.0,15.876775,273.9005,Alberta Canada
20201204 0700,-5.601812,82.0,17.313717,273.57632,Alberta Canada
20201204 0800,-6.201812,84.0,18.089775,275.7106,Alberta Canada
20201204 0900,-5.8018117,87.0,19.770523,280.4915,Alberta Canada
20201204 1000,-4.061812,89.0,23.686249,294.22775,Alberta Canada
20201204 1100,-1.8318119,89.0,25.872456,301.9209,Alberta Canada
20201204 1200,-0.23181196,90.0,26.459387,303.90628,Alberta Canada
20201204 1300,0.14818805,95.0,22.702845,297.37772,Alberta Canada
20201204 1400,0.018188044,93.0,18.25026,284.8586,Alberta Canada
20201204 1500,-1.0518119,93.0,16.56,270.0,Alberta Canada
20201204 1600,-2.6018121,92.0,17.377226,256.82745,Alberta Canada
20201204 1700,-3.681812,90.0,17.654688,249.71744,Alberta Canada
20201204 1800,-3.5818121,86.0,18.448023,252.97949,Alberta Canada
20201204 1900,-3.771812,84.0,17.068707,242.35403,Alberta Canada
20201204 2000,-4.091812,84.0,17.57744,235.00798,Alberta Canada
20201204 2100,-4.3818116,84.0,18.59845,227.3533,Alberta Canada
20201204 2200,-4.911812,85.0,19.107151,227.29062,Alberta Canada
20201204 2300,-5.2418118,86.0,19.64228,228.71529,Alberta Canada
20201205 0000,-5.5518117,86.0,18.864824,228.09406,Alberta Canada
20201205 0100,-5.911812,87.0,18.335276,226.59114,Alberta Canada
20201205 0200,-6.291812,88.0,17.057314,225.8551,Alberta Canada
20201205 0300,-6.641812,88.0,15.072783,220.156,Alberta Canada
20201205 0400,-6.731812,88.0,13.684735,215.36246,Alberta Canada
20201205 0500,-5.9918118,90.0,13.397612,210.69972,Alberta Canada
20201205 0600,-5.3618116,87.0,18.59845,222.64671,Alberta Canada
20201205 0700,-5.5718117,86.0,16.87398,213.69006,Alberta Canada
20201205 0800,-6.061812,85.0,17.22742,206.0296,Alberta Canada
20201205 0900,-5.561812,86.0,17.25373,203.35556,Alberta Canada
20201205 1000,-4.4018116,87.0,17.87718,205.01689,Alberta Canada
20201205 1100,-3.0918121,88.0,18.514643,206.56505,Alberta Canada
20201205 1200,-2.221812,90.0,18.58451,211.53479,Alberta Canada
20201205 1300,-1.8018119,91.0,17.373497,214.01935,Alberta Canada
20201205 1400,-2.101812,93.0,14.689588,216.02737,Alberta Canada
20201205 1500,-3.211812,92.0,14.480773,214.87534,Alberta Canada
20201205 1600,-4.771812,91.0,13.891522,211.2184,Alberta Canada
20201205 1700,-6.1518116,92.0,14.8257065,209.05461,Alberta Canada
20201205 1800,-5.681812,84.0,13.684735,206.56505,Alberta Canada
20201205 1900,-5.3818116,77.0,12.661564,194.82648,Alberta Canada
20201205 2000,-5.461812,74.0,14.081478,184.39871,Alberta Canada
20201205 2100,-5.831812,74.0,16.199999,180.0,Alberta Canada
20201205 2200,-6.681812,79.0,18.0,180.0,Alberta Canada
20201205 2300,-7.001812,82.0,19.08,180.0,Alberta Canada
20201206 0000,-6.9918118,82.0,20.883104,180.98776,Alberta Canada
20201206 0100,-7.0518117,82.0,21.67487,184.76364,Alberta Canada
20201206 0200,-5.9918118,77.0,22.881956,192.72435,Alberta Canada
20201206 0300,-5.791812,78.0,24.94413,200.2657,Alberta Canada
20201206 0400,-6.271812,82.0,25.455843,208.73979,Alberta Canada
20201206 0500,-6.3818116,84.0,24.122686,217.72499,Alberta Canada
20201206 0600,-5.891812,81.0,22.065973,213.69006,Alberta Canada
20201206 0700,-6.201812,82.0,22.66857,223.06941,Alberta Canada
20201206 0800,-6.831812,82.0,21.26744,236.04094,Alberta Canada
20201206 0900,-7.0718117,84.0,19.652176,241.55707,Alberta Canada
20201206 1000,-5.731812,85.0,20.858265,248.7495,Alberta Canada
20201206 1100,-4.081812,86.0,20.898611,259.0772,Alberta Canada
20201206 1200,-2.541812,87.0,21.2522,268.05853,Alberta Canada
20201206 1300,-1.7218119,89.0,19.45333,267.8789,Alberta Canada
20201206 1400,-1.751812,91.0,17.414476,262.875,Alberta Canada
20201206 1500,-2.631812,92.0,18.72,270.0,Alberta Canada
20201206 1600,-4.091812,90.0,18.775301,274.3987,Alberta Canada
20201206 1700,-4.851812,89.0,17.731598,275.82635,Alberta Canada
20201206 1800,-3.5818121,77.0,11.720751,259.38034,Alberta Canada
20201206 1900,-3.041812,69.0,14.118243,250.641,Alberta Canada
20201206 2000,-3.051812,65.0,13.281023,237.17145,Alberta Canada
20201206 2100,-4.141812,69.0,15.072783,229.84401,Alberta Canada
20201206 2200,-5.521812,77.0,17.072504,227.56378,Alberta Canada
20201206 2300,-6.3618116,82.0,17.566378,225.83032,Alberta Canada
20201207 0000,-6.9918118,85.0,17.339897,228.36647,Alberta Canada
20201207 0100,-7.471812,86.0,15.021105,225.97102,Alberta Canada
20201207 0200,-7.951812,88.0,14.277983,236.30994,Alberta Canada
20201207 0300,-7.3018117,89.0,12.538134,230.82635,Alberta Canada
20201207 0400,-7.2618117,89.0,12.768586,220.42609,Alberta Canada
20201207 0500,-6.161812,90.0,14.480773,235.12466,Alberta Canada
20201207 0600,-5.201812,92.0,14.20062,239.53445,Alberta Canada
20201207 0700,-4.501812,93.0,14.039999,247.38013,Alberta Canada
20201207 0800,-4.191812,93.0,15.725037,254.0546,Alberta Canada
20201207 0900,-5.081812,92.0,18.161278,256.23923,Alberta Canada
20201207 1000,-4.211812,92.0,20.431387,255.7189,Alberta Canada
20201207 1100,-2.741812,92.0,20.275385,253.49564,Alberta Canada
20201207 1200,-1.101812,94.0,20.945072,245.63754,Alberta Canada
20201207 1300,-0.10181196,95.0,22.553936,241.38954,Alberta Canada
20201207 1400,0.028188035,97.0,25.809765,239.85861,Alberta Canada
20201207 1500,-0.021811962,97.0,28.820242,244.0751,Alberta Canada
20201207 1600,0.26818803,98.0,30.312773,254.14807,Alberta Canada
20201207 1700,0.24818805,98.0,28.227306,264.14398,Alberta Canada
20201207 1800,0.40818802,99.0,29.888672,271.38037,Alberta Canada
20201207 1900,0.32818803,98.0,27.729347,271.48785,Alberta Canada
20201207 2000,0.32818803,98.0,26.700743,273.86548,Alberta Canada
20201207 2100,0.33818802,99.0,25.509243,278.9306,Alberta Canada
20201207 2200,0.20818803,98.0,21.897945,279.46234,Alberta Canada
20201207 2300,0.22818804,98.0,19.602652,277.38605,Alberta Canada
